degree,thetas,alpha,max_iter,lambdas
1,"[[0.9999494568824242], [0.9999954152970305], [0.9999483454417932], [0.999949741317909]]",5e-05,50000,0.0
1,"[[0.9999494568824242], [0.9999954125759422], [0.9999483427207049], [0.9999497385968206]]",5e-05,50000,0.2
1,"[[0.9999494568824242], [0.9999954098548537], [0.9999483399996164], [0.9999497358757322]]",5e-05,50000,0.4
1,"[[0.9999494568824242], [0.9999954071337652], [0.9999483372785279], [0.9999497331546437]]",5e-05,50000,0.6000000000000001
1,"[[0.9999494568824242], [0.9999954044126768], [0.9999483345574395], [0.9999497304335553]]",5e-05,50000,0.8
1,"[[0.9999494568824242], [0.9999954016915884], [0.9999483318363511], [0.9999497277124668]]",5e-05,50000,1.0
2,"[[0.9997992577025387], [0.9999954275260668], [0.9997543658336715], [0.9999476443704476], [0.9997620331048577], [0.9999480369345869], [0.9997590570141502]]",5e-05,50000,0.0
2,"[[0.9997992577025387], [0.9999954248049785], [0.999754363112583], [0.9999476416493592], [0.9997620303837692], [0.9999480342134984], [0.9997590542930618]]",5e-05,50000,0.2
2,"[[0.9997992577025387], [0.99999542208389], [0.9997543603914946], [0.9999476389282708], [0.9997620276626807], [0.99994803149241], [0.9997590515719734]]",5e-05,50000,0.4
2,"[[0.9997992577025387], [0.9999954193628016], [0.9997543576704062], [0.9999476362071823], [0.9997620249415924], [0.9999480287713216], [0.999759048850885]]",5e-05,50000,0.6000000000000001
2,"[[0.9997992577025387], [0.9999954166417131], [0.9997543549493177], [0.9999476334860938], [0.9997620222205039], [0.9999480260502331], [0.9997590461297965]]",5e-05,50000,0.8
2,"[[0.9997992577025387], [0.9999954139206247], [0.9997543522282293], [0.9999476307650055], [0.9997620194994155], [0.9999480233291447], [0.999759043408708]]",5e-05,50000,1.0
3,"[[0.9997977093799815], [0.9999033853617867], [0.9997531414047075], [0.9998005531238721], [0.9998455573262562], [0.999756861601771], [0.9996490761005054], [0.9998597222721713], [0.999755072890702], [0.9997202118262293]]",5e-05,50000,0.0
3,"[[0.9997977093799815], [0.9999033826406983], [0.9997531386836191], [0.9998005504027836], [0.9998455546051678], [0.9997568588806826], [0.999649073379417], [0.9998597195510829], [0.9997550701696135], [0.9997202091051408]]",5e-05,50000,0.2
3,"[[0.9997977093799815], [0.9999033799196099], [0.9997531359625307], [0.9998005476816951], [0.9998455518840793], [0.9997568561595942], [0.9996490706583285], [0.9998597168299945], [0.999755067448525], [0.9997202063840523]]",5e-05,50000,0.4
3,"[[0.9997977093799815], [0.9999033771985214], [0.9997531332414422], [0.9998005449606068], [0.9998455491629908], [0.9997568534385057], [0.9996490679372401], [0.9998597141089061], [0.9997550647274366], [0.999720203662964]]",5e-05,50000,0.6000000000000001
3,"[[0.9997977093799815], [0.9999033744774329], [0.9997531305203537], [0.9998005422395183], [0.9998455464419025], [0.9997568507174173], [0.9996490652161517], [0.9998597113878176], [0.9997550620063482], [0.9997202009418755]]",5e-05,50000,0.8
3,"[[0.9997977093799815], [0.9999033717563446], [0.9997531277992654], [0.9998005395184298], [0.999845543720814], [0.9997568479963288], [0.9996490624950632], [0.9998597086667291], [0.9997550592852598], [0.9997201982207871]]",5e-05,50000,1.0
4,"[[0.9995179722209109], [0.9999034515885582], [0.9993732792904787], [0.9998016159468396], [0.9987663417124035], [0.9998405285757863], [0.9993334061183311], [0.9996161877347782], [0.9984422465466251], [0.9998571548077633], [0.9993759571008957], [0.9997141381020572], [0.998760480084181]]",5e-05,50000,0.0
4,"[[0.9995179722209109], [0.9999034488674698], [0.9993732765693903], [0.9998016132257511], [0.9987663389913151], [0.9998405258546978], [0.9993334033972426], [0.9996161850136899], [0.9984422438255367], [0.9998571520866749], [0.9993759543798073], [0.9997141353809688], [0.9987604773630925]]",5e-05,50000,0.2
4,"[[0.9995179722209109], [0.9999034461463814], [0.9993732738483019], [0.9998016105046628], [0.9987663362702266], [0.9998405231336094], [0.9993334006761542], [0.9996161822926014], [0.9984422411044482], [0.9998571493655865], [0.9993759516587188], [0.9997141326598804], [0.9987604746420041]]",5e-05,50000,0.4
4,"[[0.9995179722209109], [0.9999034434252929], [0.9993732711272134], [0.9998016077835743], [0.9987663335491381], [0.999840520412521], [0.9993333979550657], [0.9996161795715129], [0.9984422383833598], [0.999857146644498], [0.9993759489376304], [0.9997141299387919], [0.9987604719209157]]",5e-05,50000,0.6000000000000001
4,"[[0.9995179722209109], [0.9999034407042044], [0.999373268406125], [0.9998016050624858], [0.9987663308280498], [0.9998405176914326], [0.9993333952339774], [0.9996161768504246], [0.9984422356622713], [0.9998571439234095], [0.999375946216542], [0.9997141272177035], [0.9987604691998272]]",5e-05,50000,0.8
4,"[[0.9995179722209109], [0.9999034379831161], [0.9993732656850366], [0.9998016023413975], [0.9987663281069613], [0.9998405149703441], [0.9993333925128889], [0.9996161741293361], [0.998442232941183], [0.9998571412023212], [0.9993759434954536], [0.999714124496615], [0.9987604664787387]]",5e-05,50000,1.0
